Author,Datasets,Released,Series,Titles,sheet_name,dataset_id
Saksena,▪U.S. Census Bureau (Monthly Retail Trade and Foodservices series),FY18,EIB-196,America’s Eating Habits: Food Away From Home,Census Surveys,dataset-023
Saksena,▪CES,FY18,EIB-196,America’s Eating Habits: Food Away From Home,CES,dataset-024
Saksena,FoodAPS,FY18,EIB-196,America’s Eating Habits: Food Away From Home,FoodAPS,dataset-025
Saksena,IRI,FY18,EIB-196,America’s Eating Habits: Food Away From Home,IRI,didn't see IRI referenced in original paper
Saksena,▪NHANES,FY18,EIB-196,America’s Eating Habits: Food Away From Home,NHANES,dataset-017
Martinez,IRI,FY18,EIB-183,An Assessment of Product Turnover in the U.S. Food Industry and Effects on Nutrient Content,IRI,
Prell,▪SIPP and ACS,FY15,ERR-192,Annual and Monthly SNAP Participation Rates,Census Surveys,
Prell,SNAP,FY15,ERR-192,Annual and Monthly SNAP Participation Rates,SNAP Admin,dataset-026
Cho ,TDLinx,FY19,TB-1953,"Capturing the Complete Food Environment With Commercial Data: A Comparison of TDLinx, ReCount, and NETS Databases",TD Linx,
Todd,▪National Health and Nutrition Examination Survey (NHANES) ,FY14,ERR-161,"Changes in Eating Patterns and Diet Quality Among Working-Age Adults, 2005-2010",NHANES,
Carlson,▪Nielsen Homescan data ,FY16,ERR-209,Changes in Retail Organic Price Premiums from 2004 to 2010,Nielsen,
Guthrie,▪Food and Nutrition Service (participation decision),FY18,ERR-255,Characteristics of School Districts Offering Free School Meals to All Students Through the Community Eligibility Provision of the National School Lunch Program,FNS,
Coleman-Jensen,▪CPS-FSS,FY17,EIB-174,Children’s Food Security and USDA Child Nutrition Programs,CPS-FSS,
Ver Ploeg,▪Survey of Income and Program Participation (SIPP),FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,Census Surveys,
Ver Ploeg,▪Current Population Survey Annual Social and Economic Supplement (CPS-ASEC),FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,CPS-FSS,
Ver Ploeg,FoodAPS,FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,FoodAPS,
Ver Ploeg,IRI,FY16,EIB-157,Comparing National Food Acquisition and Purchase Survey (FoodAPS) Data With Other National Food Surveys’ Data,IRI,
Rahkovsky,FoodAPS,FY18,ERR-251,Consumers Balance Time and Money in Purchasing Convenience Foods,FoodAPS,
Gregory,▪2007-08 and 2009-10 waves of the National Health and Nutrition Examination Survey (NHANES) ▪Flexible Consumer Behavior Survey module (FCBS),FY14,EIB-127,Consumers' Use of Nutrition Information When Eating Out,NHANES,
Ralston,▪2013 Farm to School Census (collected jointly by ERS and FNS under an interagency agreement),FY17,EIB-168,Daily Access to Local Foods for School Meals: Key Drivers,FNS,
Oliveira,SNAP,FY18,ERR-243,Design Issues in USDA's Supplemental Nutrition Assistance Program: Looking Ahead by Looking Back,SNAP Admin,
Hoffmann,Cost-of-Illness Estimates for Major Foodborne Illnesses,FY15,EIB-140,Economic Burden of Major Foodborne Illnesses Acquired in the United States,Cost Est. Foodborne Illnesses,
Ollinger,"▪FSIS over 2006-12 ▪USDA, AMS (2014) website ",FY16,ERR-202,Economic Incentives to Supply Safe Chicken to the National School Lunch Program,FDA-FSIS-AMS,
